PUMFID,PROVR,CH_AGE,PMK3_05R,ARR_05,ARR_20AR,ARR_20BR,ARR_20CR,ARR_20DR,ARR_20GR,ARR_20HR,ARR_20IR,NUMCARER,ARRT20AR,ARRT20BR,ARRT20CR,ARRT20DR,ARRT20GR,ARRT20HR,MAINR,ARR_45,ARR_70AR,ARR_70BR,ARR_70CR,ARR_70DR,ARR_70GR,ARR_70HR,ARR_75AR,ARR_75BR,ARR_75CR,ARR_75DR,ARR_75GR,ARR_75HR,ARR_80,ARR_85R,ARR_90,ARR_95AR,ARR_95BR,ARR_95CR,ARR_95DR,ARR_95ER,ARR_95HR,ARR_95JR,ARR_95KR,ARR_95LR,ARR_95MR,ARR100R,ARR_105,ARR110AR,ARR110BR,ARR110CR,ARR110DR,ARR110ER,ARR110FR,ARR110HR,ARR110KR,ARR_115A,ARR_115B,ARR_115C,ARR_115D,ARR_115E,ARR_115F,ARR_115G,ARR_115H,ARR_115I,ARR_115J,ARR_115K,ARR_120,ARR125R,ARR130AR,ARR130BR,ARR130CR,ARR130DR,ARR130ER,ARR130HR,ARR130IR,ARR130KR,ARR130LR,ARR135BR,ARR135CR,ARR135DR,ARR135ER,ARR135FR,ARR135GR,ARR135JR,ARR135KR,ARR135MR,ARR_140R,HHINCR,EDUGRP,IIDFLAG,USE_CARE,COSTG_AR,COSTG_BR,COSTG_CR,COSTG_DR,COSTG_GR,COSTG_HR,ALLCOSTG,WTPP,VERDATE
3560,59,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,6,6,6,6,6,6,6,608.9879,29/03/2023
3561,59,1,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,6,6,6,6,6,6,6,467.1728,29/03/2023
3562,24,1,1,1,1,2,2,2,2,2,2,1,2,6,6,6,6,6,1,1,5,6,6,6,6,6,2,6,6,6,6,6,2,6,6,1,2,1,1,1,2,2,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,2,1,1,6,6,6,6,6,1,742.2649,29/03/2023
3564,24,2,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,1,3,2,2,2,6,6,6,6,6,6,6,796.6047,29/03/2023
3565,35,2,1,1,2,2,2,1,2,2,2,1,6,6,6,1,6,6,4,2,6,6,6,5,6,6,6,6,6,2,6,6,2,6,6,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1,3,3,2,1,6,6,6,1,6,6,1,1112.6901,29/03/2023
3566,35,1,1,1,2,2,2,2,1,1,2,2,6,6,6,6,1,1,5,2,6,6,6,6,2,9,6,6,6,6,1,9,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,4,2,2,2,2,2,1,2,2,1,6,6,6,6,6,6,6,6,6,1,2,3,2,1,6,6,6,6,1,9,9,1028.7052,29/03/2023
3567,59,1,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,1,9,2,2,2,6,6,6,6,6,6,6,532.9156,29/03/2023
3568,46,2,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,1,2,2,3,2,1,2,2,6,6,6,6,6,6,6,292.7687,29/03/2023
3570,48,1,1,1,2,2,1,2,2,2,2,1,6,6,4,6,6,6,3,1,6,6,5,6,6,6,6,6,9,6,6,6,2,6,6,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,6,2,2,1,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1,1,3,2,1,6,6,2,6,6,6,2,559.7112,29/03/2023
3571,35,1,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,1,2,2,2,6,6,6,6,6,6,6,908.8327,29/03/2023
3572,47,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,1,1,1,2,6,6,6,6,6,6,6,214.1897,29/03/2023
3573,48,1,2,1,2,2,2,1,2,2,2,1,6,6,6,4,6,6,4,2,6,6,6,5,6,6,6,6,6,1,6,6,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,1,4,1,2,2,1,2,2,2,1,2,6,6,6,6,6,6,6,6,6,1,2,2,2,1,6,6,6,1,6,6,1,462.471,29/03/2023
3574,59,2,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,6,6,6,6,6,6,6,580.9377,29/03/2023
3575,48,9,1,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,96,6,6,6,6,6,6,6,6,6,2,2,2,1,1,2,2,2,1,1,9,9,9,2,6,6,6,6,6,6,6,604.5323,29/03/2023
3576,46,1,1,1,2,2,2,1,2,2,2,1,6,6,6,1,6,6,4,2,6,6,6,1,6,6,6,6,6,2,6,6,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,3,1,1,6,6,6,1,6,6,1,272.142,29/03/2023
3577,13,2,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,1,2,2,1,1,2,2,2,6,6,6,6,6,6,6,131.0835,29/03/2023
3578,47,1,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,4,1,1,1,2,6,6,6,6,6,6,6,231.3431,29/03/2023
3579,11,1,9,1,1,2,2,2,2,2,2,1,2,6,6,6,6,6,1,1,2,6,6,6,6,6,2,6,6,6,6,6,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,3,2,1,1,6,6,6,6,6,1,29.7636,29/03/2023
3581,11,2,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,1,1,3,3,2,2,6,6,6,6,6,6,6,25.9843,29/03/2023
3582,35,1,2,1,2,2,2,2,2,2,1,3,6,6,6,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,96,6,6,6,6,6,6,6,6,6,2,2,1,2,2,2,2,2,2,1,3,2,2,2,6,6,6,6,6,6,6,1086.6141,29/03/2023
